timestamp,x,y,z
51367723929,-0.243164,-0.627441,0.739258
51367738845,-0.245605,-0.624023,0.740723
51367761383,-0.246582,-0.619629,0.740723
51367783855,-0.243652,-0.615723,0.738281
51367798908,-0.24707,-0.612793,0.746094
51367828952,-0.236328,-0.612305,0.750488
51367851468,-0.238281,-0.620605,0.743652
51367858226,-0.237305,-0.621094,0.751465
51367881469,-0.236328,-0.616211,0.744141
51367903862,-0.235352,-0.614258,0.74707
51367926362,-0.237305,-0.615234,0.743652
51367941465,-0.231934,-0.615723,0.751465
51367963897,-0.240723,-0.619629,0.748535
51367978246,-0.242188,-0.625,0.744141
51368001851,-0.244141,-0.619141,0.741211
51368023937,-0.243164,-0.625488,0.73877
51368038284,-0.234863,-0.623535,0.748047
51368061409,-0.245117,-0.618164,0.750977
51368083951,-0.243164,-0.616211,0.750488
51368106395,-0.240234,-0.618652,0.741699
51368128957,-0.245117,-0.620605,0.75
51368143925,-0.244629,-0.619141,0.748535
51368158251,-0.236816,-0.615234,0.748047
51368181411,-0.238281,-0.607422,0.752441
51368204029,-0.236816,-0.620605,0.742676
51368225060,-0.239258,-0.616699,0.745605
51368241441,-0.235352,-0.614746,0.750977
51368263966,-0.229004,-0.61377,0.755371
51368285201,-0.23291,-0.611328,0.749512
51368301479,-0.227539,-0.608887,0.749023
51368331336,-0.230957,-0.623047,0.759277
51368352621,-0.248047,-0.634766,0.754883
51368361489,-0.260742,-0.629883,0.755859
51368384407,-0.260254,-0.617676,0.735352
51368406460,-0.267578,-0.60791,0.729004
51368428885,-0.264648,-0.614258,0.727539
51368443978,-0.253418,-0.610352,0.75
51368465002,-0.242676,-0.601562,0.759766
51368481372,-0.236816,-0.586426,0.770508
51368503870,-0.234863,-0.597168,0.782227
51368532443,-0.23877,-0.622559,0.758789
51368541393,-0.251953,-0.625,0.763672
51368564417,-0.250488,-0.605957,0.760254
51368585125,-0.236328,-0.600586,0.770996
51368609053,-0.237793,-0.617188,0.769531
51368623912,-0.241699,-0.613281,0.764648
51368646421,-0.228516,-0.583984,0.755371
51368661456,-0.22168,-0.567383,0.764648
51368683904,-0.247559,-0.573242,0.76709
51368706436,-0.257812,-0.586426,0.762695
51368721474,-0.252441,-0.577148,0.751953
51368743992,-0.248047,-0.568359,0.766602
51368766411,-0.230957,-0.578613,0.788086
51368780794,-0.226562,-0.588379,0.799805
51368811413,-0.230957,-0.582031,0.806641
51368827213,-0.246094,-0.564941,0.808105
51368840869,-0.256348,-0.554688,0.807129
51368864027,-0.275879,-0.537598,0.802734
51368886440,-0.295898,-0.533203,0.804199
51368908981,-0.292969,-0.530762,0.808105
51368923881,-0.291504,-0.532227,0.810547
51368946472,-0.300293,-0.506348,0.79834
51368967660,-0.297363,-0.496582,0.807129
51368983990,-0.307617,-0.487305,0.804199
51369013949,-0.307617,-0.494629,0.790039
51369035196,-0.319336,-0.48877,0.798828
51369044030,-0.316406,-0.464844,0.79541
51369066439,-0.303711,-0.467773,0.797852
51369089025,-0.305176,-0.466797,0.802246
51369111406,-0.317383,-0.464355,0.804688
51369126518,-0.322754,-0.461914,0.8125
51369147570,-0.328613,-0.462891,0.811035
51369164006,-0.330078,-0.453613,0.815918
51369186447,-0.327148,-0.445312,0.813965
51369215199,-0.335449,-0.440918,0.805664
51369224028,-0.34375,-0.455078,0.808105
51369246499,-0.330078,-0.458984,0.811035
51369267591,-0.327637,-0.453613,0.806641
51369283977,-0.330566,-0.461426,0.79248
51369313994,-0.327148,-0.465332,0.784668
51369327716,-0.327637,-0.48291,0.789062
51369344005,-0.321289,-0.486328,0.793945
51369349506,-0.32373,-0.494629,0.812012
51369371807,-0.328125,-0.48877,0.810059
51369394367,-0.331543,-0.486328,0.802734
51369409316,-0.328613,-0.480469,0.796875
51369439494,-0.322754,-0.490723,0.791992
51369463168,-0.320801,-0.491211,0.793945
51369469400,-0.325195,-0.495605,0.79248
51369493286,-0.32959,-0.493164,0.797363
51369514409,-0.314941,-0.494629,0.79248
51369529347,-0.320801,-0.494141,0.802246
51369551971,-0.325195,-0.488281,0.799805
51369574309,-0.325195,-0.489746,0.803711
51369592229,-0.330078,-0.487305,0.806152
51369611851,-0.324707,-0.483398,0.808594
51369643227,-0.324219,-0.487305,0.79834
51369649344,-0.322754,-0.496582,0.804199
51369671815,-0.321777,-0.502441,0.80127
51369703151,-0.316406,-0.510742,0.79541
51369716826,-0.312988,-0.507812,0.799316
51369739311,-0.308105,-0.506836,0.793457
51369754381,-0.304688,-0.508789,0.799316
51369770701,-0.3125,-0.507324,0.802246
51369794721,-0.305664,-0.513672,0.801758
51369817239,-0.307129,-0.516113,0.800781
51369830762,-0.310059,-0.508301,0.797852
51369851802,-0.312012,-0.506348,0.796875
51369874400,-0.316406,-0.510254,0.788086
51369890766,-0.303711,-0.510254,0.791504
51369919499,-0.300781,-0.515137,0.79248
51369942479,-0.304199,-0.51416,0.795898
51369950835,-0.306641,-0.51416,0.792969
51369971847,-0.302734,-0.519043,0.794434
51369995745,-0.300781,-0.513184,0.802246
51370018273,-0.307617,-0.509277,0.797363
51370031863,-0.311523,-0.505371,0.796387
51370054478,-0.315918,-0.507324,0.80127
51370072264,-0.31543,-0.510254,0.805176
51370094705,-0.312012,-0.506836,0.804688
51370122551,-0.304688,-0.505859,0.80957
51370130784,-0.304688,-0.508301,0.799316
51370151835,-0.307129,-0.503418,0.796387
51370174387,-0.309082,-0.506836,0.793457
51370199747,-0.312012,-0.511719,0.790039
51370219523,-0.30957,-0.509277,0.78418
51370234369,-0.310547,-0.510254,0.80127
51370250713,-0.306152,-0.504395,0.795898
51370274802,-0.306152,-0.505371,0.800781
51370295762,-0.304688,-0.508301,0.795898
51370312348,-0.310547,-0.506348,0.794434
51370331875,-0.302734,-0.507324,0.797363
51370354361,-0.306152,-0.504883,0.79834
51370376862,-0.315918,-0.51123,0.792969
51370399375,-0.314453,-0.506836,0.798828
51370421941,-0.306152,-0.501953,0.791016
51370436856,-0.311035,-0.500488,0.800293
51370451880,-0.314453,-0.505859,0.797363
51370477267,-0.315918,-0.502441,0.795898
51370499664,-0.311035,-0.500488,0.802246
51370511847,-0.308105,-0.502441,0.810059
51370534369,-0.309082,-0.5,0.800781
51370556885,-0.311523,-0.500977,0.794434
51370574821,-0.310059,-0.507324,0.794434
51370601789,-0.3125,-0.510254,0.791992
51370625841,-0.30957,-0.510742,0.798828
51370631843,-0.308594,-0.506348,0.797852
51370654365,-0.304688,-0.501953,0.794922
51370679850,-0.307129,-0.513672,0.796875
51370699324,-0.305176,-0.512695,0.800293
51370714370,-0.302246,-0.50293,0.792969
51370736863,-0.300781,-0.506836,0.794434
51370754714,-0.307617,-0.508301,0.791992
51370777333,-0.313965,-0.508789,0.789551
51370796859,-0.311523,-0.510742,0.791992
51370811936,-0.307129,-0.509766,0.790527
51370834379,-0.29541,-0.51123,0.808105
51370856856,-0.293457,-0.507324,0.808105
51370871897,-0.288086,-0.507324,0.80957
51370901832,-0.296387,-0.514648,0.80957
51370916861,-0.299316,-0.525391,0.811035
51370931886,-0.298828,-0.524414,0.813477
51370957251,-0.296875,-0.518555,0.800781
51370979812,-0.309082,-0.512695,0.794434
51370993327,-0.314941,-0.513672,0.791504
51371014388,-0.314941,-0.513672,0.77832
51371036875,-0.316895,-0.51709,0.787109
51371054745,-0.313965,-0.509766,0.788574
51371074363,-0.312988,-0.508301,0.790527
51371105041,-0.307617,-0.505859,0.802246
51371113442,-0.305664,-0.503906,0.797852
51371134374,-0.299316,-0.501953,0.810059
51371165022,-0.297363,-0.504395,0.810059
51371180781,-0.291992,-0.511719,0.813965
51371201869,-0.296387,-0.512207,0.804688
51371216857,-0.302246,-0.509766,0.800781
51371234759,-0.302734,-0.508301,0.79834
51371257332,-0.303223,-0.510742,0.793457
51371285790,-0.312012,-0.518555,0.792969
51371293280,-0.313965,-0.522461,0.783203
51371314359,-0.310547,-0.512695,0.785156
51371336899,-0.311035,-0.512695,0.79248
51371354766,-0.30957,-0.517578,0.790527
51371374390,-0.308105,-0.513672,0.796387
51371405011,-0.302246,-0.510742,0.803223
51371413273,-0.30127,-0.507324,0.803711
51371444801,-0.304688,-0.500977,0.79834
51371459742,-0.308105,-0.502441,0.800781
51371482335,-0.317871,-0.506348,0.794434
51371494409,-0.316895,-0.502441,0.79248
51371516890,-0.309082,-0.504883,0.793457
51371534829,-0.308105,-0.501953,0.796387
51371554337,-0.305176,-0.507812,0.79541
51371584419,-0.307617,-0.503418,0.794922
51371608199,-0.317383,-0.5,0.792969
51371614340,-0.312988,-0.503418,0.79541
51371644375,-0.313477,-0.502441,0.793945
51371662290,-0.31543,-0.505859,0.793945
51371681929,-0.312988,-0.501953,0.797363
51371696896,-0.314453,-0.503906,0.797852
51371719359,-0.313477,-0.501465,0.800781
51371737299,-0.304688,-0.501953,0.800293
51371758405,-0.302734,-0.504883,0.795898
51371789410,-0.307129,-0.50293,0.793457
51371794428,-0.311035,-0.512207,0.793945
51371816872,-0.308105,-0.508301,0.79248
51371839340,-0.312012,-0.506836,0.793945
51371861848,-0.309082,-0.511719,0.801758
51371884412,-0.312012,-0.506836,0.796387
51371899356,-0.312012,-0.508301,0.79834
51371914355,-0.31543,-0.507324,0.797363
51371939773,-0.310059,-0.505371,0.798828
51371959378,-0.30957,-0.507324,0.802734
51371974394,-0.307617,-0.504883,0.805176
51371997013,-0.310547,-0.505371,0.803711
51372019568,-0.308105,-0.507324,0.795898
51372034512,-0.312988,-0.507324,0.794434
51372064394,-0.30957,-0.508789,0.797363
51372087658,-0.309082,-0.511719,0.790039
51372095840,-0.306641,-0.517578,0.800781
51372116919,-0.29834,-0.51123,0.802734
51372139526,-0.304688,-0.509277,0.803711
51372163291,-0.3125,-0.507324,0.794434
51372176925,-0.313477,-0.508789,0.793457
51372199405,-0.312012,-0.505371,0.789062
51372217291,-0.305176,-0.513672,0.80127
51372237232,-0.30127,-0.51123,0.799805
51372267394,-0.309082,-0.507812,0.797852
51372277343,-0.311035,-0.506836,0.79541
51372296882,-0.309082,-0.512207,0.79541
51372319394,-0.308105,-0.510742,0.797852
51372344857,-0.310547,-0.507324,0.797363
51372364479,-0.307129,-0.506348,0.795898
51372379556,-0.30957,-0.504883,0.799805
51372395836,-0.307129,-0.507812,0.796387
51372419787,-0.305664,-0.508789,0.796875
51372442481,-0.308105,-0.511719,0.803223
51372457292,-0.3125,-0.509277,0.794434
51372476969,-0.311035,-0.508789,0.795898
51372499426,-0.311523,-0.512207,0.802246
51372517315,-0.306641,-0.509277,0.797852
51372537065,-0.308594,-0.507324,0.792969
51372566971,-0.306641,-0.504395,0.795898
51372593253,-0.311035,-0.509766,0.79541
51372597988,-0.311035,-0.514648,0.800293
51372619449,-0.308105,-0.508789,0.805664
51372644851,-0.3125,-0.507812,0.80127
51372656970,-0.3125,-0.510742,0.802734
51372679376,-0.317871,-0.508789,0.790527
51372697338,-0.31543,-0.501953,0.783691
51372716935,-0.320801,-0.491699,0.78125
51372739484,-0.308105,-0.483887,0.786133
51372757299,-0.307129,-0.493164,0.791016
51372777160,-0.308594,-0.495605,0.797852
51372799417,-0.314941,-0.5,0.797852
51372821981,-0.309082,-0.503418,0.806641
51372845940,-0.310059,-0.50293,0.812012
51372866906,-0.307129,-0.507812,0.809082
51372882045,-0.3125,-0.511719,0.810059
51372897006,-0.302246,-0.506836,0.807617
51372922313,-0.308594,-0.503418,0.8125
51372942092,-0.306641,-0.510254,0.791016
51372957006,-0.311523,-0.510254,0.791016
51372979455,-0.31543,-0.513184,0.793945
51373001919,-0.3125,-0.508301,0.789551
51373016922,-0.311035,-0.508789,0.796875
51373039573,-0.306152,-0.51123,0.799316
51373070097,-0.306641,-0.512207,0.802734
51373078535,-0.300293,-0.510742,0.799805
51373099528,-0.296387,-0.517578,0.803223
51373121982,-0.293945,-0.516113,0.804688
51373146074,-0.294434,-0.51416,0.806152
51373159450,-0.300293,-0.517578,0.799805
51373181984,-0.30127,-0.509766,0.800781
51373199174,-0.299316,-0.507812,0.802246
51373219404,-0.303711,-0.507324,0.807129
51373242127,-0.307129,-0.506836,0.802734
51373258426,-0.307617,-0.504883,0.800781
51373279440,-0.307129,-0.504395,0.793457
51373301981,-0.30957,-0.507812,0.800293
51373318392,-0.3125,-0.51123,0.794922
51373339462,-0.306152,-0.51123,0.787109
51373361999,-0.304199,-0.511719,0.799805
51373379844,-0.302246,-0.513672,0.803711
51373401572,-0.297852,-0.512207,0.800781
51373423373,-0.294922,-0.513184,0.797363
51373439933,-0.29248,-0.515625,0.799805
51373459489,-0.297363,-0.508789,0.800781
51373481975,-0.296875,-0.511719,0.796387
51373502393,-0.301758,-0.511719,0.800781
51373527001,-0.307617,-0.507812,0.792969
51373551102,-0.305664,-0.511719,0.79834
51373559850,-0.305176,-0.510254,0.79541
51373579454,-0.306152,-0.506836,0.80127
51373604897,-0.312012,-0.504883,0.801758
51373627366,-0.308105,-0.505859,0.79834
51373639459,-0.307129,-0.509766,0.792969
51373662019,-0.309082,-0.509766,0.793945
51373679945,-0.303223,-0.509277,0.803223
51373700233,-0.303223,-0.507324,0.799316
51373721990,-0.300781,-0.509277,0.794922
51373740054,-0.29834,-0.516113,0.798828
51373759608,-0.300293,-0.511719,0.801758
51373782003,-0.294922,-0.51123,0.799316
51373800824,-0.304199,-0.509277,0.801758
51373827025,-0.303223,-0.509277,0.791992
51373842167,-0.306641,-0.509277,0.802734
51373864436,-0.305664,-0.507812,0.800293
51373879463,-0.302734,-0.509277,0.799316
51373903872,-0.302246,-0.510742,0.80127
51373919887,-0.302246,-0.511719,0.798828
51373939454,-0.303223,-0.513184,0.791504
51373962053,-0.306152,-0.512695,0.788574
51373984427,-0.308594,-0.510254,0.793457
51374001873,-0.304688,-0.515137,0.804199
51374029483,-0.304199,-0.51123,0.799805
51374044413,-0.299805,-0.507324,0.800293
51374061155,-0.303711,-0.518555,0.797363
51374081996,-0.303711,-0.518066,0.791992
51374104496,-0.298828,-0.51709,0.794434
51374120975,-0.299316,-0.509277,0.796875
51374141983,-0.301758,-0.508789,0.797363
51374164469,-0.302246,-0.508301,0.804199
51374182356,-0.310059,-0.51123,0.796875
51374202634,-0.312988,-0.513184,0.796875
51374232633,-0.304688,-0.508789,0.795898
51374240951,-0.299316,-0.504883,0.797363
51374262050,-0.30127,-0.511719,0.796875
51374284455,-0.30127,-0.512695,0.800781
51374300962,-0.299805,-0.505859,0.806152
51374322055,-0.308594,-0.513184,0.801758
51374344396,-0.303223,-0.515625,0.796875
51374362458,-0.310547,-0.509766,0.796875
51374384930,-0.306152,-0.507812,0.800781
51374405632,-0.304199,-0.504395,0.799316
51374422407,-0.301758,-0.509766,0.79834
51374441960,-0.300781,-0.516113,0.803711
51374464559,-0.299805,-0.513672,0.795898
51374486961,-0.303223,-0.512207,0.794922
51374502074,-0.305176,-0.506348,0.789551
51374524491,-0.304199,-0.506836,0.800781
51374542453,-0.301758,-0.509766,0.797363
51374561984,-0.296875,-0.507812,0.80127
51374587340,-0.302734,-0.509766,0.807129
51374602372,-0.303223,-0.507324,0.799316
51374622024,-0.305664,-0.508789,0.796387
51374644459,-0.308105,-0.509277,0.797363
51374663104,-0.307129,-0.508789,0.801758
51374681993,-0.303223,-0.509766,0.797852
51374711956,-0.296875,-0.514648,0.802246
51374722391,-0.29834,-0.513672,0.796387
51374742012,-0.299805,-0.510742,0.791504
51374764588,-0.304688,-0.509766,0.791016
51374789961,-0.303711,-0.507812,0.797852
51374809504,-0.29541,-0.51123,0.796387
51374824603,-0.298828,-0.513672,0.803711
51374842380,-0.300293,-0.507812,0.797852
51374864982,-0.302734,-0.501953,0.799316
51374884515,-0.302734,-0.505371,0.787598
51374902426,-0.310059,-0.509766,0.79248
51374922184,-0.305176,-0.509766,0.799805
51374944447,-0.298828,-0.512695,0.806152
51374962497,-0.29541,-0.513672,0.805664
51374983485,-0.30127,-0.505859,0.803223
51375004531,-0.296875,-0.506836,0.800293
51375022430,-0.304688,-0.508301,0.799805
51375044963,-0.307617,-0.513184,0.795898
51375067461,-0.305664,-0.509766,0.796387
51375082418,-0.307617,-0.506348,0.801758
51375103420,-0.303711,-0.51123,0.805664
51375124496,-0.29541,-0.507812,0.800781
51375146988,-0.29541,-0.513184,0.802246
51375163432,-0.298828,-0.51416,0.800293
51375191988,-0.302246,-0.508789,0.796875
51375202363,-0.302734,-0.511719,0.791992
51375223436,-0.301758,-0.515137,0.796875
51375244497,-0.299805,-0.508789,0.799316
51375269975,-0.299805,-0.509277,0.805664
51375290950,-0.303223,-0.506348,0.803711
51375304465,-0.302734,-0.507324,0.79834
51375326968,-0.307617,-0.510742,0.793457
51375344975,-0.303223,-0.509766,0.796387
51375367437,-0.305664,-0.505859,0.795898
51375394487,-0.30127,-0.508789,0.803223
51375404963,-0.302734,-0.514648,0.799316
51375424495,-0.300293,-0.511719,0.793457
51375447003,-0.303711,-0.515625,0.799805
51375472464,-0.29541,-0.514648,0.797363
51375484512,-0.300781,-0.514648,0.800293
51375506983,-0.303223,-0.510742,0.794922
51375524982,-0.299805,-0.510742,0.80127
51375545967,-0.301758,-0.51123,0.805176
51375569972,-0.302246,-0.513184,0.79541
51375584968,-0.299805,-0.510254,0.79541
51375604535,-0.30127,-0.513184,0.797363
51375627040,-0.311035,-0.518066,0.798828
51375644962,-0.309082,-0.514648,0.793945
51375672066,-0.307617,-0.512207,0.794434
51375698058,-0.303711,-0.515137,0.796875
51375704974,-0.297852,-0.512207,0.801758
51375724530,-0.299805,-0.512695,0.795898
51375749975,-0.300781,-0.515137,0.791992
51375772488,-0.306641,-0.51709,0.793457
51375784522,-0.299805,-0.513184,0.794434
51375807030,-0.301758,-0.519043,0.793457
51375825423,-0.302734,-0.512695,0.800781
51375847490,-0.295898,-0.51416,0.801758
51375867103,-0.299805,-0.513672,0.793945
51375899159,-0.302246,-0.517578,0.796387
51375905970,-0.301758,-0.516602,0.80127
51375927008,-0.306152,-0.518555,0.801758
51375952468,-0.306152,-0.519043,0.796875
51375965978,-0.304688,-0.512207,0.793457
51375987025,-0.302246,-0.509766,0.796875
51376004962,-0.301758,-0.515625,0.79834
51376025989,-0.306152,-0.516113,0.797852
51376049956,-0.305664,-0.516113,0.793945
51376064956,-0.303223,-0.515625,0.788574
51376085988,-0.303711,-0.518555,0.793945
51376107088,-0.306152,-0.518066,0.788086
51376125604,-0.305664,-0.516602,0.796875
51376146003,-0.304199,-0.51416,0.791992
51376174520,-0.303223,-0.518555,0.794434
51376185118,-0.302246,-0.523926,0.795898
51376205941,-0.300781,-0.518555,0.788574
51376230031,-0.30127,-0.518555,0.791504
51376252449,-0.30127,-0.517578,0.789551
51376267473,-0.299316,-0.518066,0.786133
51376287296,-0.305664,-0.519043,0.793457
51376304979,-0.308105,-0.521484,0.794922
51376327464,-0.311035,-0.514648,0.79248
51376347063,-0.302246,-0.510742,0.795898
51376364950,-0.30127,-0.515625,0.791504
51376387653,-0.297852,-0.515137,0.79541
51376407009,-0.299805,-0.516602,0.804199
51376432446,-0.303711,-0.518066,0.792969
51376454978,-0.304688,-0.518066,0.79834
51376474723,-0.306641,-0.52002,0.79248
51376489609,-0.305664,-0.517578,0.794922
51376507960,-0.300781,-0.518555,0.80127
51376530103,-0.296387,-0.51709,0.800781
51376549595,-0.299805,-0.519531,0.793457
51376567447,-0.296387,-0.520996,0.791992
51376587112,-0.301758,-0.513672,0.785645
51376609472,-0.309082,-0.516113,0.790039
51376627419,-0.304688,-0.512695,0.789551
51376647299,-0.303711,-0.507324,0.797363
51376677268,-0.299805,-0.51123,0.796387
51376687522,-0.298828,-0.51709,0.795898
51376707056,-0.299805,-0.521973,0.795898
51376732516,-0.299316,-0.518066,0.796387
51376747594,-0.300781,-0.515137,0.793945
51376767053,-0.308594,-0.514648,0.794434
51376789604,-0.300781,-0.518066,0.802734
51376807465,-0.305664,-0.516602,0.796875
51376827025,-0.300293,-0.518555,0.792969
51376857079,-0.30127,-0.51709,0.799316
51376867438,-0.303711,-0.521484,0.80127
51376888566,-0.30127,-0.52002,0.79834
51376909556,-0.303711,-0.515137,0.795898
51376933576,-0.302734,-0.511719,0.796875
51376956042,-0.29834,-0.51416,0.799805
51376969545,-0.300293,-0.514648,0.790527
51376988125,-0.302734,-0.521973,0.798828
51377009974,-0.300293,-0.51709,0.79541
51377029587,-0.302246,-0.513184,0.791992
51377047779,-0.300781,-0.513672,0.792969
51377068493,-0.299316,-0.514648,0.797363
51377089599,-0.300293,-0.510742,0.796875
51377107485,-0.302734,-0.512695,0.79834
51377134720,-0.304688,-0.523926,0.792969
51377157064,-0.306152,-0.51709,0.79541
51377167436,-0.298828,-0.515137,0.797363
51377190078,-0.299316,-0.518066,0.796387
51377212492,-0.298828,-0.516113,0.796875
51377235201,-0.304199,-0.516113,0.797852
51377250026,-0.294922,-0.51709,0.794434
51377269554,-0.300293,-0.518555,0.795898
51377287583,-0.300293,-0.515137,0.791992
51377310023,-0.302734,-0.514648,0.792969
51377329542,-0.29834,-0.521973,0.79834
51377347591,-0.293945,-0.51416,0.793457
51377369943,-0.299316,-0.513184,0.799316
51377389690,-0.302246,-0.516113,0.796387
51377413545,-0.304688,-0.516602,0.791992
51377437562,-0.303223,-0.513672,0.790527
51377449705,-0.29541,-0.51709,0.793945
51377467494,-0.302246,-0.515137,0.79834
51377490181,-0.299316,-0.516113,0.801758
51377512500,-0.297852,-0.516602,0.794922
51377529423,-0.300293,-0.519043,0.797852
51377550222,-0.29834,-0.517578,0.80127
51377569586,-0.297852,-0.518555,0.793457
51377592131,-0.297852,-0.518555,0.79541
51377610170,-0.297852,-0.517578,0.79541
51377630165,-0.304688,-0.513672,0.796387
51377647685,-0.300293,-0.520508,0.794922
51377670015,-0.296387,-0.510742,0.801758
51377692551,-0.298828,-0.512207,0.794922
51377715027,-0.304199,-0.516113,0.805664
51377731953,-0.302246,-0.516113,0.79541
51377749734,-0.300781,-0.511719,0.794922
51377772085,-0.300781,-0.51709,0.802734
51377789988,-0.297363,-0.514648,0.799316
51377811239,-0.30127,-0.51416,0.79541
51377839591,-0.304199,-0.51709,0.791016
51377850102,-0.302246,-0.516113,0.793945
51377871061,-0.304688,-0.517578,0.797363
51377892110,-0.302246,-0.516602,0.797852
51377910179,-0.29541,-0.513672,0.799316
51377931983,-0.294434,-0.51709,0.79834
51377952221,-0.298828,-0.512695,0.793457
51377970451,-0.303223,-0.513672,0.79248
51377992658,-0.300293,-0.518066,0.795898
51378012283,-0.295898,-0.519531,0.792969
51378030042,-0.298828,-0.511719,0.799316
51378051143,-0.299805,-0.510742,0.799316
51378072115,-0.299805,-0.516602,0.79834
51378096039,-0.302246,-0.512695,0.794434
51378117143,-0.297852,-0.511719,0.79248
51378133011,-0.294922,-0.513184,0.791992
51378149999,-0.297363,-0.516602,0.803711
51378172520,-0.299805,-0.51709,0.799805
51378194989,-0.29834,-0.519043,0.79541
51378210182,-0.302734,-0.513184,0.794922
51378232485,-0.297852,-0.517578,0.79541
51378252273,-0.297363,-0.515625,0.796875
51378270001,-0.30127,-0.519531,0.795898
51378292505,-0.303223,-0.513184,0.79834
51378319784,-0.29541,-0.511719,0.797363
51378329987,-0.298828,-0.513184,0.795898
51378352760,-0.293457,-0.520508,0.800781
51378375020,-0.29834,-0.516113,0.793457
51378397551,-0.302734,-0.51416,0.793457
51378420092,-0.29541,-0.513672,0.797852
51378432076,-0.29834,-0.518066,0.79834
51378450247,-0.302734,-0.518066,0.796387
51378480016,-0.299805,-0.513184,0.793945
51378492121,-0.304199,-0.51416,0.797363
51378510195,-0.30127,-0.518066,0.796387
51378532512,-0.296875,-0.519043,0.797363
51378552258,-0.296387,-0.507324,0.797852
51378570168,-0.299316,-0.514648,0.791992
51378597199,-0.30127,-0.518066,0.790527
51378619789,-0.302246,-0.51709,0.79248
51378630041,-0.297363,-0.513672,0.798828
51378652708,-0.304199,-0.51123,0.794434
51378675056,-0.297852,-0.513184,0.786133
51378697625,-0.292969,-0.511719,0.79834
51378712558,-0.295898,-0.52002,0.796875
51378733561,-0.297363,-0.518555,0.801758
51378750701,-0.299805,-0.519043,0.795898
51378772542,-0.304688,-0.513184,0.80127
51378801099,-0.296875,-0.517578,0.797363
51378810188,-0.297363,-0.51123,0.802246
51378832529,-0.30127,-0.509766,0.793945
51378853761,-0.304688,-0.515625,0.79248
51378877621,-0.297852,-0.513672,0.796875
51378900008,-0.297363,-0.515137,0.796875
51378913622,-0.303223,-0.513672,0.793457
51378930532,-0.300781,-0.515137,0.794922
51378952563,-0.30127,-0.518555,0.792969
51378975096,-0.295898,-0.522949,0.796387
51378994596,-0.291992,-0.515625,0.797852
51379012519,-0.297363,-0.519531,0.796387
51379033608,-0.297852,-0.516602,0.794922
51379054681,-0.300781,-0.517578,0.79834
51379080054,-0.300781,-0.517578,0.799805
51379102529,-0.29834,-0.511719,0.797363
51379114689,-0.30127,-0.515137,0.795898
51379132575,-0.30127,-0.51709,0.798828
51379155029,-0.299805,-0.515137,0.799805
51379174785,-0.29541,-0.513184,0.803223
51379192510,-0.296875,-0.511719,0.79541
51379215089,-0.305664,-0.516602,0.797363
